trip_month,pickup_borough,dropoff_borough,trip_count,avg_trip_distance,avg_total_amount,total_revenue
2018-03-01 00:00:00,Unknown,N/A,96,9.43,98.08,9415.86
2018-03-01 00:00:00,Staten Island,Manhattan,11,15.63,59.92,659.08
2018-03-01 00:00:00,EWR,Manhattan,19,17.89,91.46,1737.71
2018-04-01 00:00:00,Manhattan,Queens,287754,10.4,42.32,12177799.33
2018-04-01 00:00:00,Unknown,Manhattan,17389,2.13,14.91,259183.96
2018-04-01 00:00:00,Brooklyn,Bronx,558,17.75,58.45,32617.67
2018-06-01 00:00:00,Manhattan,Manhattan,7258270,1.88,12.55,91073952.18
2018-04-01 00:00:00,Staten Island,Staten Island,47,3.8,22.49,1057.03
2018-05-01 00:00:00,Manhattan,Brooklyn,242981,6.34,28.52,6929767.67
2018-05-01 00:00:00,Queens,Bronx,9629,15.05,53.85,518492.31
2018-05-01 00:00:00,Brooklyn,Staten Island,109,13.31,58.96,6426.53
2018-05-01 00:00:00,Brooklyn,N/A,106,21.47,100.59,10662.68
2018-06-01 00:00:00,Bronx,Queens,505,13.06,48.19,24336.66
2018-06-01 00:00:00,Unknown,Brooklyn,727,6.62,29.68,21580.74
2018-06-01 00:00:00,Brooklyn,EWR,104,18.38,100.98,10501.46
2019-02-01 00:00:00,Manhattan,Manhattan,15,1.49,10.63,159.43
2018-07-01 00:00:00,Queens,Brooklyn,73919,13.13,45.72,3379944.47
2018-07-01 00:00:00,Staten Island,Staten Island,54,2.69,28.64,1546.74
